epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.3878,4.08785,4.03688,3.39747,0,0,0,0,3.24005,3.92845,3.51858,0,0,0
2,3.35708,4.08846,4.13368,3.60293,0,0,0,0,3.24446,3.92213,3.52673,1.9604e-05,1.9604e-05,1.9604e-05
3,4.21775,4.17336,4.16935,3.48157,0,0,0,0,3.27309,3.91484,3.52893,3.8416e-05,3.8416e-05,3.8416e-05
4,5.06002,3.99691,4.25402,3.18285,0,0,0,0,3.27209,3.93051,3.52691,5.6436e-05,5.6436e-05,5.6436e-05
5,5.87269,3.95608,3.90281,3.30023,0,0,0,0,3.27209,3.93051,3.52691,7.3664e-05,7.3664e-05,7.3664e-05
6,6.7228,3.9533,4.03059,3.42038,0,0,0,0,3.24938,3.96677,3.51894,9.01e-05,9.01e-05,9.01e-05
7,7.54192,3.48032,4.14745,3.55748,0,0,0,0,3.24938,3.96677,3.51894,0.000105744,0.000105744,0.000105744
8,9.76929,3.98216,4.73825,3.30761,0.00083,0.03704,0.00045,4e-05,3.22003,3.99681,3.52171,0.000120596,0.000120596,0.000120596
9,12.0883,3.99275,4.32624,3.60301,0.00083,0.03704,0.00045,4e-05,3.22003,3.99681,3.52171,0.000134656,0.000134656,0.000134656
10,14.9169,4.15033,3.96142,3.61319,0,0,0,0,2.88606,8.9739,3.38827,0.000147924,0.000147924,0.000147924
11,18.6844,3.92093,4.97048,2.9137,0,0,0,0,2.88606,8.9739,3.38827,0.0001604,0.0001604,0.0001604
12,22.7089,3.94211,5.2381,2.79097,0,0,0,0,2.88606,8.9739,3.38827,0.000172084,0.000172084,0.000172084
13,26.2823,3.48512,4.79944,2.949,0.01201,0.2963,0.00991,0.00232,2.87142,11.5783,3.31426,0.000182976,0.000182976,0.000182976
14,32.3859,2.99762,4.06929,2.63399,0.01201,0.2963,0.00991,0.00232,2.87142,11.5783,3.31426,0.000193076,0.000193076,0.000193076
15,39.6584,3.08634,4.43162,2.35756,0.01201,0.2963,0.00991,0.00232,2.87142,11.5783,3.31426,0.000202384,0.000202384,0.000202384
16,46.4755,3.22241,6.59179,2.90753,0.01701,0.14815,0.01146,0.00275,2.85435,10.4052,3.32156,0.0002109,0.0002109,0.0002109
17,53.4225,3.01155,4.37595,2.5903,0.01701,0.14815,0.01146,0.00275,2.85435,10.4052,3.32156,0.000218624,0.000218624,0.000218624
18,60.8162,2.87468,5.7736,2.68274,0.01701,0.14815,0.01146,0.00275,2.85435,10.4052,3.32156,0.000225556,0.000225556,0.000225556
19,64.7698,3.37689,6.21627,2.94757,0.01701,0.14815,0.01146,0.00275,2.85435,10.4052,3.32156,0.000231696,0.000231696,0.000231696
20,66.3197,3.43735,6.93073,3.45525,0,0,0,0,2.64485,10.2512,3.11401,0.000237044,0.000237044,0.000237044
21,67.7244,2.7372,3.89451,2.76322,0,0,0,0,2.64485,10.2512,3.11401,0.0002416,0.0002416,0.0002416
22,69.1769,3.44221,3.75039,2.37781,0,0,0,0,2.64485,10.2512,3.11401,0.000245364,0.000245364,0.000245364
23,70.5104,2.97799,3.84172,2.4661,0,0,0,0,2.64485,10.2512,3.11401,0.000248336,0.000248336,0.000248336
24,72.1333,3.10505,4.20922,2.43231,0.35945,0.37037,0.35521,0.11761,2.61148,3.08698,2.37945,0.000250516,0.000250516,0.000250516
25,78.4193,2.59909,2.67378,2.12113,0.35945,0.37037,0.35521,0.11761,2.61148,3.08698,2.37945,0.000251904,0.000251904,0.000251904
